# county,month,lat,lng,deaths,normalized_deaths,cumulative_deaths,normalized_cumulative_deaths
8.200000000000000000e+01,8.800000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.490000000000000000e+02,1.160648106011790076e-03
8.200000000000000000e+01,8.900000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,1.000000000000000000e+00,4.476876930653176147e-06,2.500000000000000000e+02,1.165124982942443172e-03
8.200000000000000000e+01,9.000000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,3.000000000000000000e+00,1.343063079195952929e-05,2.530000000000000000e+02,1.178555613734402676e-03
8.200000000000000000e+01,9.100000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,3.000000000000000000e+00,1.343063079195952929e-05,2.560000000000000000e+02,1.191986244526362180e-03
8.200000000000000000e+01,9.200000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,5.000000000000000000e+00,2.238438465326588158e-05,2.610000000000000000e+02,1.214370629179628092e-03
8.200000000000000000e+01,9.300000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,3.000000000000000000e+00,1.343063079195952929e-05,2.640000000000000000e+02,1.227801259971587596e-03
8.200000000000000000e+01,9.400000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,5.000000000000000000e+00,2.238438465326588158e-05,2.690000000000000000e+02,1.250185644624853508e-03
8.200000000000000000e+01,9.500000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,2.000000000000000000e+00,8.953753861306352295e-06,2.710000000000000000e+02,1.259139398486159916e-03
8.200000000000000000e+01,9.600000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,6.000000000000000000e+00,2.649989400042399802e-05,2.770000000000000000e+02,1.285639292486583877e-03
8.200000000000000000e+01,9.700000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,2.000000000000000000e+00,8.833298000141332672e-06,2.790000000000000000e+02,1.294472590486725125e-03
8.200000000000000000e+01,9.800000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,2.000000000000000000e+00,8.833298000141332672e-06,2.810000000000000000e+02,1.303305888486866373e-03
8.200000000000000000e+01,9.900000000000000000e+01,3.942735056000000071e+01,-8.416728623999999570e+01,6.000000000000000000e+00,2.649989400042399802e-05,2.870000000000000000e+02,1.329805782487290334e-03
8.200000000000000000e+01,1.000000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,4.000000000000000000e+00,1.766659600028266534e-05,2.910000000000000000e+02,1.347472378487573046e-03
8.200000000000000000e+01,1.010000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,3.000000000000000000e+00,1.324994700021199901e-05,2.940000000000000000e+02,1.360722325487785135e-03
8.200000000000000000e+01,1.020000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,2.000000000000000000e+00,8.833298000141332672e-06,2.960000000000000000e+02,1.369555623487926383e-03
8.200000000000000000e+01,1.030000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,1.000000000000000000e+00,4.416649000070666336e-06,2.970000000000000000e+02,1.373972272487997224e-03
8.200000000000000000e+01,1.040000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,6.000000000000000000e+00,2.649989400042399802e-05,3.030000000000000000e+02,1.400472166488421185e-03
8.200000000000000000e+01,1.050000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,3.000000000000000000e+00,1.324994700021199901e-05,3.060000000000000000e+02,1.413722113488633273e-03
8.200000000000000000e+01,1.060000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,4.000000000000000000e+00,1.766659600028266534e-05,3.100000000000000000e+02,1.431388709488915986e-03
8.200000000000000000e+01,1.070000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,8.000000000000000000e+00,3.533319200056533069e-05,3.180000000000000000e+02,1.466721901489481412e-03
8.200000000000000000e+01,1.080000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,3.000000000000000000e+00,1.305977458829060644e-05,3.210000000000000000e+02,1.479781676077772000e-03
8.200000000000000000e+01,1.090000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,1.000000000000000000e+00,4.353258196096869096e-06,3.220000000000000000e+02,1.484134934273868790e-03
8.200000000000000000e+01,1.100000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,3.000000000000000000e+00,1.305977458829060644e-05,3.250000000000000000e+02,1.497194708862159378e-03
8.200000000000000000e+01,1.110000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,5.000000000000000000e+00,2.176629098048434463e-05,3.300000000000000000e+02,1.518960999842643763e-03
